corpus,model,tier,query_format,n_docs,B,delta_full,correct,p_correct,ci_lo,ci_hi
mimic_discharge,BioBERT,2,keyword,20,500,0.1806825396825396,496,0.992,0.9796126401630988,0.9968847352024922
mimic_discharge,BioBERT,2,keyword,30,500,0.1806825396825396,500,1.0,0.9923753814690964,0.9999999999999999
mimic_discharge,BioBERT,2,keyword,50,500,0.1806825396825396,500,1.0,0.9923753814690964,0.9999999999999999
mimic_discharge,BioBERT,2,keyword,75,500,0.1806825396825396,500,1.0,0.9923753814690964,0.9999999999999999
mimic_discharge,BioLORD-2023,1,nl,10,500,-0.08713492063492079,239,0.478,0.43455017112738104,0.5217853120879786
mimic_discharge,BioLORD-2023,1,nl,20,500,-0.08713492063492079,349,0.698,0.6563715243917267,0.7366091266700354
mimic_discharge,BioLORD-2023,1,nl,30,500,-0.08713492063492079,390,0.78,0.7416305610182787,0.8140996526044155
mimic_discharge,BioLORD-2023,1,nl,50,500,-0.08713492063492079,455,0.91,0.8816900083946269,0.9320578044100325
mimic_discharge,BioLORD-2023,1,nl,75,500,-0.08713492063492079,498,0.996,0.9855339859585811,0.9989023924587627
mimic_discharge,BioLORD-2023,1,keyword,10,500,-0.05675000000000019,315,0.63,0.5868391297107901,0.671178469471175
mimic_discharge,BioLORD-2023,1,keyword,20,500,-0.05675000000000019,411,0.822,0.7860541079213073,0.853035637744791
mimic_discharge,BioLORD-2023,1,keyword,30,500,-0.05675000000000019,429,0.858,0.8246696706783865,0.8858711024534867
mimic_discharge,BioLORD-2023,1,keyword,50,500,-0.05675000000000019,479,0.958,0.9366479487604386,0.9723679006652538
mimic_discharge,BioLORD-2023,1,keyword,75,500,-0.05675000000000019,500,1.0,0.9923753814690964,0.9999999999999999
mimic_discharge,BioMistral-7B,2,nl,10,500,0.13072222222222224,318,0.636,0.5929368106752564,0.676989293084338
mimic_discharge,BioMistral-7B,2,nl,20,500,0.13072222222222224,331,0.662,0.6194419387868491,0.7020876848091384
mimic_discharge,BioMistral-7B,2,nl,30,500,0.13072222222222224,401,0.802,0.7648252982841597,0.8345694321231747
mimic_discharge,BioMistral-7B,2,nl,50,500,0.13072222222222224,464,0.928,0.9019310525910869,0.9475422739464601
mimic_discharge,BioMistral-7B,2,nl,75,500,0.13072222222222224,500,1.0,0.9923753814690964,0.9999999999999999
mimic_discharge,BioMistral-7B,2,keyword,10,500,0.17845634920634923,266,0.532,0.48818530469160204,0.5753267197224201
mimic_discharge,BioMistral-7B,2,keyword,20,500,0.17845634920634923,379,0.758,0.7185828923419191,0.7934828044961348
mimic_discharge,BioMistral-7B,2,keyword,30,500,0.17845634920634923,451,0.902,0.8727933541017654,0.9250764525993884
mimic_discharge,BioMistral-7B,2,keyword,50,500,0.17845634920634923,497,0.994,0.9825094361891064,0.9979574407023611
mimic_discharge,BioMistral-7B,2,keyword,75,500,0.17845634920634923,500,1.0,0.9923753814690964,0.9999999999999999
mimic_discharge,ClinicalBERT,2,nl,10,500,0.08770634920634918,296,0.592,0.5483787038455701,0.6342183663447436
mimic_discharge,ClinicalBERT,2,nl,20,500,0.08770634920634918,405,0.81,0.7732995724391238,0.8419731640717161
mimic_discharge,ClinicalBERT,2,nl,30,500,0.08770634920634918,435,0.87,0.8376779926652986,0.8966797896218328
mimic_discharge,ClinicalBERT,2,nl,50,500,0.08770634920634918,489,0.978,0.9610387448516022,0.9876721198328542
mimic_discharge,ClinicalBERT,2,nl,75,500,0.08770634920634918,499,0.998,0.9887590072528046,0.9996468726904154
mimic_discharge,ClinicalBERT,2,keyword,10,500,0.11445634920634923,379,0.758,0.7185828923419191,0.7934828044961348
mimic_discharge,ClinicalBERT,2,keyword,20,500,0.11445634920634923,463,0.926,0.8996646988891734,0.945839126122497
mimic_discharge,ClinicalBERT,2,keyword,30,500,0.11445634920634923,490,0.98,0.9635794314459021,0.9891009347644306
mimic_discharge,ClinicalBERT,2,keyword,50,500,0.11445634920634923,499,0.998,0.9887590072528046,0.9996468726904154
mimic_discharge,ClinicalBERT,2,keyword,75,500,0.11445634920634923,500,1.0,0.9923753814690964,0.9999999999999999
mimic_discharge,E5-Mistral-7B,2,nl,10,500,0.03316269841269842,355,0.71,0.6687444142064393,0.7480532460105812
mimic_discharge,E5-Mistral-7B,2,nl,20,500,0.03316269841269842,418,0.836,0.8010046749760953,0.8658715813711375
mimic_discharge,E5-Mistral-7B,2,nl,30,500,0.03316269841269842,458,0.916,0.8884001169044927,0.9372562004777957
mimic_discharge,E5-Mistral-7B,2,nl,50,500,0.03316269841269842,478,0.956,0.9342800855801577,0.9707662623196583
mimic_discharge,E5-Mistral-7B,2,nl,75,500,0.03316269841269842,494,0.988,0.9740692922810136,0.9944890800328247
mimic_discharge,E5-Mistral-7B,2,keyword,10,500,0.13155555555555554,369,0.738,0.6977463146741062,0.7746243669051839
mimic_discharge,E5-Mistral-7B,2,keyword,20,500,0.13155555555555554,478,0.956,0.9342800855801577,0.9707662623196583
mimic_discharge,E5-Mistral-7B,2,keyword,30,500,0.13155555555555554,499,0.998,0.9887590072528046,0.9996468726904154
mimic_discharge,E5-Mistral-7B,2,keyword,50,500,0.13155555555555554,500,1.0,0.9923753814690964,0.9999999999999999
mimic_discharge,E5-Mistral-7B,2,keyword,75,500,0.13155555555555554,500,1.0,0.9923753814690964,0.9999999999999999
mimic_discharge,E5-Mistral-7B-ablation,2,nl,10,500,0.2741388888888889,366,0.732,0.6915155074925284,0.7689466695091324
mimic_discharge,E5-Mistral-7B-ablation,2,nl,20,500,0.2741388888888889,453,0.906,0.8772348563464386,0.928573953406468
mimic_discharge,E5-Mistral-7B-ablation,2,nl,30,500,0.2741388888888889,480,0.96,0.9390259449029252,0.9739594060486436
mimic_discharge,E5-Mistral-7B-ablation,2,nl,50,500,0.2741388888888889,500,1.0,0.9923753814690964,0.9999999999999999
mimic_discharge,E5-Mistral-7B-ablation,2,nl,75,500,0.2741388888888889,500,1.0,0.9923753814690964,0.9999999999999999
mimic_discharge,E5-Mistral-7B-ablation,2,keyword,10,500,0.16969444444444448,266,0.532,0.48818530469160204,0.5753267197224201
mimic_discharge,E5-Mistral-7B-ablation,2,keyword,20,500,0.16969444444444448,393,0.786,0.7479411410548613,0.819697577145462
mimic_discharge,E5-Mistral-7B-ablation,2,keyword,30,500,0.16969444444444448,435,0.87,0.8376779926652986,0.8966797896218328
mimic_discharge,E5-Mistral-7B-ablation,2,keyword,50,500,0.16969444444444448,489,0.978,0.9610387448516022,0.9876721198328542
mimic_discharge,E5-Mistral-7B-ablation,2,keyword,75,500,0.16969444444444448,500,1.0,0.9923753814690964,0.9999999999999999
mimic_discharge,GTE-base,1,nl,10,500,-0.07093253968253954,93,0.186,0.15433345489426237,0.22245480554314495
mimic_discharge,GTE-base,1,nl,20,500,-0.07093253968253954,254,0.508,0.4642850183794739,0.5515929877240316
mimic_discharge,GTE-base,1,nl,30,500,-0.07093253968253954,309,0.618,0.5746644739023564,0.6595361161243504
mimic_discharge,GTE-base,1,nl,50,500,-0.07093253968253954,444,0.888,0.8573456933034787,0.9127376027165404
mimic_discharge,GTE-base,1,nl,75,500,-0.07093253968253954,495,0.99,0.976806564621235,0.9957213092184797
mimic_discharge,GTE-base,1,keyword,10,500,-0.053404761904761844,149,0.298,0.25957253815100145,0.3395078077354835
mimic_discharge,GTE-base,1,keyword,20,500,-0.053404761904761844,338,0.676,0.6337707190597581,0.7155454152173639
mimic_discharge,GTE-base,1,keyword,30,500,-0.053404761904761844,407,0.814,0.7775451944568551,0.8456665451057376
mimic_discharge,GTE-base,1,keyword,50,500,-0.053404761904761844,461,0.922,0.8951458937794419,0.9424189281804758
mimic_discharge,GTE-base,1,keyword,75,500,-0.053404761904761844,491,0.982,0.9661479527879661,0.9905019149482431
mimic_discharge,MedCPT,1,nl,10,500,-0.06934126984126987,150,0.3,0.26148125649400616,0.3415685909183552
mimic_discharge,MedCPT,1,nl,20,500,-0.06934126984126987,123,0.246,0.2102803738317757,0.2855929323819232
mimic_discharge,MedCPT,1,nl,30,500,-0.06934126984126987,123,0.246,0.2102803738317757,0.2855929323819232
mimic_discharge,MedCPT,1,nl,50,500,-0.06934126984126987,188,0.376,0.33463927845578423,0.41925162693987983
mimic_discharge,MedCPT,1,nl,75,500,-0.06934126984126987,348,0.696,0.6543125331560312,0.7346986163798547
mimic_discharge,MedCPT,1,keyword,10,500,-0.056503968253968084,118,0.236,0.20088068978132578,0.27514510880299115
mimic_discharge,MedCPT,1,keyword,20,500,-0.056503968253968084,199,0.398,0.35602922648461244,0.44152619569569185
mimic_discharge,MedCPT,1,keyword,30,500,-0.056503968253968084,221,0.442,0.39907517838464235,0.4858092773649425
mimic_discharge,MedCPT,1,keyword,50,500,-0.056503968253968084,302,0.604,0.5604950326399137,0.6459190467056583
mimic_discharge,MedCPT,1,keyword,75,500,-0.056503968253968084,448,0.896,0.8661551236448682,0.9198061784786563
mimic_discharge,Nomic-embed-text,1,nl,10,500,-0.08185317460317443,130,0.26,0.22348508910670623,0.3001747277881274
mimic_discharge,Nomic-embed-text,1,nl,20,500,-0.08185317460317443,231,0.462,0.41875551183784954,0.5058239591704992
mimic_discharge,Nomic-embed-text,1,nl,30,500,-0.08185317460317443,282,0.564,0.5202088800086124,0.6068151688194319
mimic_discharge,Nomic-embed-text,1,nl,50,500,-0.08185317460317443,449,0.898,0.8683647750455783,0.9215660286038228
mimic_discharge,Nomic-embed-text,1,nl,75,500,-0.08185317460317443,500,1.0,0.9923753814690964,0.9999999999999999
