model,corpus,query_format,epsilon,baseline_MRR@10,corpus_only_ZCA_MRR@10,dMRR@10,Recall@10,tier
GTE-base,MTSamples,natural_language,1e-07,0.9344999999999999,0.7410119047619048,-0.19348809523809507,0.95,1
GTE-base,MTSamples,natural_language,1e-06,0.9344999999999999,0.8998571428571428,-0.034642857142857086,0.96,1
GTE-base,MTSamples,natural_language,1e-05,0.9344999999999999,0.9000952380952382,-0.034404761904761716,0.96,1
GTE-base,MTSamples,natural_language,0.0001,0.9344999999999999,0.905595238095238,-0.028904761904761878,0.96,1
GTE-base,MTSamples,natural_language,0.001,0.9344999999999999,0.9194444444444446,-0.015055555555555267,0.97,1
GTE-base,MTSamples,natural_language,0.01,0.9344999999999999,0.922,-0.012499999999999845,0.98,1
GTE-base,PMC-Patients,keyword,1e-07,0.9816666666666666,0.9433333333333332,-0.03833333333333333,0.97,1
GTE-base,PMC-Patients,keyword,1e-06,0.9816666666666666,0.9433333333333332,-0.03833333333333333,0.97,1
GTE-base,PMC-Patients,keyword,1e-05,0.9816666666666666,0.9433333333333332,-0.03833333333333333,0.97,1
GTE-base,PMC-Patients,keyword,0.0001,0.9816666666666666,0.9505555555555556,-0.03111111111111098,0.99,1
GTE-base,PMC-Patients,keyword,0.001,0.9816666666666666,0.9636666666666668,-0.017999999999999794,0.99,1
GTE-base,PMC-Patients,keyword,0.01,0.9816666666666666,0.9745,-0.0071666666666665435,1.0,1
GTE-base,PMC-Patients,natural_language,1e-07,0.985,0.9758333333333334,-0.009166666666666545,1.0,1
GTE-base,PMC-Patients,natural_language,1e-06,0.985,0.9758333333333334,-0.009166666666666545,1.0,1
GTE-base,PMC-Patients,natural_language,1e-05,0.985,0.9758333333333334,-0.009166666666666545,1.0,1
GTE-base,PMC-Patients,natural_language,0.0001,0.985,0.9775,-0.007499999999999951,1.0,1
GTE-base,PMC-Patients,natural_language,0.001,0.985,0.9833333333333333,-0.0016666666666667052,1.0,1
GTE-base,PMC-Patients,natural_language,0.01,0.985,0.9833333333333333,-0.0016666666666667052,1.0,1
GTE-base,Synthetic,keyword,1e-07,0.7276071428571429,0.20476984126984132,-0.5228373015873016,0.75,1
GTE-base,Synthetic,keyword,1e-06,0.7276071428571429,0.49192857142857144,-0.23567857142857146,0.79,1
GTE-base,Synthetic,keyword,1e-05,0.7276071428571429,0.5868690476190477,-0.14073809523809522,0.83,1
GTE-base,Synthetic,keyword,0.0001,0.7276071428571429,0.6033730158730158,-0.12423412698412706,0.85,1
GTE-base,Synthetic,keyword,0.001,0.7276071428571429,0.6686944444444444,-0.05891269841269853,0.88,1
GTE-base,Synthetic,keyword,0.01,0.7276071428571429,0.7105952380952381,-0.01701190476190484,0.91,1
GTE-base,Synthetic,natural_language,1e-07,0.7198015873015872,0.24743253968253967,-0.4723690476190475,0.77,1
GTE-base,Synthetic,natural_language,1e-06,0.7198015873015872,0.4477063492063493,-0.2720952380952379,0.78,1
GTE-base,Synthetic,natural_language,1e-05,0.7198015873015872,0.5675119047619048,-0.15228968253968234,0.84,1
GTE-base,Synthetic,natural_language,0.0001,0.7198015873015872,0.5965952380952381,-0.1232063492063491,0.84,1
GTE-base,Synthetic,natural_language,0.001,0.7198015873015872,0.652611111111111,-0.06719047619047613,0.87,1
GTE-base,Synthetic,natural_language,0.01,0.7198015873015872,0.6985277777777777,-0.021273809523809417,0.91,1
Nomic-embed-text,MTSamples,keyword,1e-07,0.9203333333333333,0.8774166666666666,-0.042916666666666714,0.94,1
Nomic-embed-text,MTSamples,keyword,1e-06,0.9203333333333333,0.8774166666666666,-0.042916666666666714,0.94,1
Nomic-embed-text,MTSamples,keyword,1e-05,0.9203333333333333,0.8774166666666666,-0.042916666666666714,0.94,1
Nomic-embed-text,MTSamples,keyword,0.0001,0.9203333333333333,0.8801944444444443,-0.04013888888888906,0.95,1
Nomic-embed-text,MTSamples,keyword,0.001,0.9203333333333333,0.8937619047619048,-0.02657142857142858,0.96,1
Nomic-embed-text,MTSamples,keyword,0.01,0.9203333333333333,0.902,-0.018333333333333313,0.96,1
Nomic-embed-text,MTSamples,natural_language,1e-07,0.9366666666666665,0.9026666666666666,-0.03399999999999992,0.95,1
Nomic-embed-text,MTSamples,natural_language,1e-06,0.9366666666666665,0.9026666666666666,-0.03399999999999992,0.95,1
Nomic-embed-text,MTSamples,natural_language,1e-05,0.9366666666666665,0.9036666666666667,-0.03299999999999981,0.96,1
Nomic-embed-text,MTSamples,natural_language,0.0001,0.9366666666666665,0.9130952380952381,-0.023571428571428465,0.95,1
Nomic-embed-text,MTSamples,natural_language,0.001,0.9366666666666665,0.9303333333333333,-0.006333333333333191,0.97,1
Nomic-embed-text,MTSamples,natural_language,0.01,0.9366666666666665,0.92875,-0.007916666666666572,0.97,1
Nomic-embed-text,PMC-Patients,keyword,1e-07,0.9478333333333333,0.9222499999999999,-0.025583333333333402,0.99,1
Nomic-embed-text,PMC-Patients,keyword,1e-06,0.9478333333333333,0.9205833333333334,-0.027249999999999885,0.99,1
Nomic-embed-text,PMC-Patients,keyword,1e-05,0.9478333333333333,0.9205833333333334,-0.027249999999999885,0.99,1
Nomic-embed-text,PMC-Patients,keyword,0.0001,0.9478333333333333,0.9220833333333335,-0.02574999999999983,0.99,1
Nomic-embed-text,PMC-Patients,keyword,0.001,0.9478333333333333,0.9405952380952382,-0.007238095238095155,1.0,1
Nomic-embed-text,PMC-Patients,keyword,0.01,0.9478333333333333,0.9525,0.004666666666666708,1.0,1
Nomic-embed-text,PMC-Patients,natural_language,1e-07,0.9708333333333333,0.927,-0.04383333333333328,0.97,1
Nomic-embed-text,PMC-Patients,natural_language,1e-06,0.9708333333333333,0.927,-0.04383333333333328,0.97,1
Nomic-embed-text,PMC-Patients,natural_language,1e-05,0.9708333333333333,0.927,-0.04383333333333328,0.97,1
Nomic-embed-text,PMC-Patients,natural_language,0.0001,0.9708333333333333,0.92875,-0.04208333333333336,0.98,1
Nomic-embed-text,PMC-Patients,natural_language,0.001,0.9708333333333333,0.9383333333333332,-0.032500000000000084,0.99,1
