Corpus,Configuration,Nominal tier,Query format,Documents sampled,Draws,Full-sample dMRR@10,Draws with correct sign,Agreement rate,Wilson lower,Wilson upper,reference sign,contributes to
mimic_discharge,Nomic-embed-text-nopfx,1,nl,20,500,-0.0845,245,0.49,0.4464,0.5337,negative,specificity
mimic_discharge,Nomic-embed-text-nopfx,1,nl,30,500,-0.0845,350,0.7,0.6584,0.7385,negative,specificity
mimic_discharge,Nomic-embed-text-nopfx,1,nl,50,500,-0.0845,453,0.906,0.8772,0.9286,negative,specificity
mimic_discharge,Nomic-embed-text-nopfx,1,nl,75,500,-0.0845,496,0.992,0.9796,0.9969,negative,specificity
mimic_discharge,BERT-base-uncased,2,keyword,10,500,0.0934,313,0.626,0.5828,0.6673,positive,sensitivity
mimic_discharge,BERT-base-uncased,2,keyword,20,500,0.0934,408,0.816,0.7797,0.8475,positive,sensitivity
mimic_discharge,BERT-base-uncased,2,keyword,30,500,0.0934,466,0.932,0.9065,0.9509,positive,sensitivity
mimic_discharge,BERT-base-uncased,2,keyword,50,500,0.0934,492,0.984,0.9687,0.9919,positive,sensitivity
mimic_discharge,BERT-base-uncased,2,keyword,75,500,0.0934,500,1.0,0.9924,1.0,positive,sensitivity
mimic_discharge,BERT-base-uncased,2,nl,10,500,0.024,320,0.64,0.597,0.6809,positive,sensitivity
mimic_discharge,BERT-base-uncased,2,nl,20,500,0.024,363,0.726,0.6853,0.7633,positive,sensitivity
mimic_discharge,BERT-base-uncased,2,nl,30,500,0.024,408,0.816,0.7797,0.8475,positive,sensitivity
mimic_discharge,BERT-base-uncased,2,nl,50,500,0.024,460,0.92,0.8929,0.9407,positive,sensitivity
mimic_discharge,BERT-base-uncased,2,nl,75,500,0.024,479,0.958,0.9366,0.9724,positive,sensitivity
mimic_discharge,BioBERT,2,keyword,10,500,0.1807,411,0.822,0.7861,0.853,positive,sensitivity
mimic_discharge,BioBERT,2,keyword,20,500,0.1807,496,0.992,0.9796,0.9969,positive,sensitivity
